OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
THOR ABLESTAR DEB,358,66.27279663085938,0.002297600032761693,333.9473876953125,2.2376999855041504,357.86871337890625,15.82425972,0.0,1961-06-29,1966-08-31,5,2
THOR ABLESTAR DEB,359,67.00980377197266,0.001331700012087822,288.2146911621094,332.2665100097656,27.77400016784668,16.19668662,0.0,1961-06-29,1965-08-31,4,2
SCOUT X-2M DEB,370,98.52880096435547,0.00174840004183352,215.84649658203125,298.03369140625,61.915401458740234,16.07839522,0.003951000049710274,1962-08-23,1980-03-02,18,3
SCOUT X-2M DEB,378,98.37920379638672,0.0014377000043168664,147.12249755859375,110.69629669189453,251.43899536132812,16.22340207,0.0018350000027567148,1962-08-23,1992-08-12,30,3
DELTA 1 R/B,398,58.24209976196289,0.0007825000211596489,145.50880432128906,323.55621337890625,36.505401611328125,16.33506004,0.0024272999726235867,1962-09-18,1983-01-10,21,3
DELTA 1 DEB [YO],399,58.37459945678711,0.0007010999834164977,176.1197967529297,322.3935852050781,178.72779846191406,16.35768467,0.0007040699711069465,1962-09-18,2019-01-11,57,3
DELTA 1 DEB [YO],400,58.154598236083984,0.0008659000159241259,300.9234924316406,235.86749267578125,131.0386962890625,16.36652401,0.0014250000240281224,1962-09-18,1989-04-05,27,3
THOR ABLESTAR DEB,401,66.99649810791016,0.001359199988655746,28.992399215698242,69.78450012207031,282.06658935546875,15.77868763,0.03456199914216995,1961-06-29,1989-01-25,28,3
THOR ABLESTAR DEB,411,66.87860107421875,0.0038344000931829214,121.26589965820312,269.6647033691406,89.75370025634766,15.10819817,0.0,1961-06-29,1978-06-20,17,2
THOR ABLESTAR DEB,412,67.18080139160156,0.0032812999561429024,267.61370849609375,237.81640625,122.01249694824219,15.89212332,0.010223000310361385,1961-06-29,1980-06-30,19,3
THOR ABLESTAR DEB,413,66.44210052490234,0.0013685999438166618,351.9471130371094,49.539798736572266,310.5234069824219,15.81394886,0.04868600144982338,1961-06-29,1989-12-02,28,3
THOR ABLESTAR DEB,415,67.61979675292969,0.0030350000597536564,285.5497131347656,282.7655029296875,77.00520324707031,16.02868316,0.014841999858617783,1961-06-29,1989-05-27,28,3
THOR ABLESTAR DEB,418,67.63330078125,0.0009517999715171754,262.78271484375,141.70350646972656,219.6627960205078,16.29114171,0.004718900192528963,1961-06-29,1991-11-05,30,3
THOR ABLESTAR DEB,419,66.83879852294922,0.0028142998926341534,251.25750732421875,171.4803009033203,188.68629455566406,15.94639322,0.04499899968504906,1961-06-29,2014-12-09,53,3
THOR ABLESTAR DEB,421,66.68299865722656,0.0009287000284530222,262.809814453125,255.71060180664062,104.30280303955078,15.75285563,0.0058097997680306435,1961-06-29,1984-10-02,23,3
SL-7 R/B,442,48.94089889526367,0.002614900004118681,352.1453857421875,57.390899658203125,302.81109619140625,16.19776346,0.0,1962-10-20,1963-06-05,1,1
SL-6 R/B,454,64.6791000366211,0.0038254999089986086,45.97869873046875,347.2279052734375,12.69789981842041,16.3341633,0.0,1962-11-04,1963-01-19,1,1
SPUTNIK 22 DEB,457,64.85440063476562,0.006563299801200628,271.8750915527344,293.6264953613281,65.68699645996094,16.33527999,0.0,1962-10-24,1963-02-26,1,1
THOR ABLESTAR DEB,462,67.54940032958984,0.0012757000513374805,292.67669677734375,286.9862060546875,78.49690246582031,15.95351679,0.03318300098180771,1961-06-29,2001-04-01,40,3
THOR ABLESTAR DEB,464,67.57430267333984,0.0009621999925002456,134.7559051513672,52.77750015258789,306.33331298828125,16.12885235,0.016392000019550323,1961-06-29,1989-12-18,28,3
THOR ABLESTAR DEB,466,66.72750091552734,0.0007229999755509198,102.74079895019531,102.2313003540039,259.385498046875,16.32376518,0.003036400070413947,1961-06-29,1988-11-26,27,3
THOR ABLESTAR DEB,468,66.5624008178711,0.0024770000018179417,248.3325958251953,155.86599731445312,204.3679962158203,15.8145233,0.058267999440431595,1961-06-29,1981-12-03,20,3
THOR ABLESTAR DEB,471,66.78510284423828,0.0021168000530451536,342.7331848144531,304.3140869140625,55.6068000793457,16.18836707,0.0034680000972002745,1961-06-29,2007-08-02,46,3
THOR ABLESTAR DEB,472,66.6957015991211,0.0010633999481797218,59.67369842529297,239.46189880371094,120.658203125,16.24300602,0.006180999800562859,1961-06-29,2003-04-26,42,3
THOR ABLESTAR DEB,473,67.14759826660156,0.002329000039026141,94.0363998413086,12.759599685668945,347.4103088378906,15.54353325,0.0,1961-06-29,1972-03-02,11,2
THOR ABLESTAR DEB,476,67.0093002319336,0.002039399929344654,56.9552001953125,182.85299682617188,177.30990600585938,16.23388613,8.63110035425052e-05,1961-06-29,2014-04-02,53,3
THOR ABLESTAR DEB,477,66.58110046386719,0.0026960999239236116,96.4635009765625,24.49049949645996,336.3268127441406,15.84877205,0.013915999792516232,1961-06-29,1982-01-18,21,3
THOR ABLESTAR DEB,479,66.6240005493164,0.0011338000185787678,246.4196014404297,192.43060302734375,167.66119384765625,16.27722259,0.00574890011921525,1961-06-29,2022-11-29,61,3
SPUTNIK 22 DEB,483,64.73729705810547,0.0062652998603880405,104.47360229492188,319.32550048828125,40.22959899902344,16.23045103,0.0,1962-10-24,1963-01-02,1,1
SCOUT X-3 DEB,514,90.59629821777344,9.999999974752427e-07,24.893299102783203,359.9999084472656,0.11640000343322754,15.9513211,0.0,1962-12-19,1969-04-22,7,2
SL-3 R/B,518,64.87139892578125,0.0029978000093251467,155.76809692382812,77.52429962158203,282.8138122558594,16.35235024,0.0,1962-12-22,1963-01-22,1,1
